,,,,,,,
,,,,,,,
,,,,,,,
Item ,Description,Quantity,Unit Price (₹),Total Price (₹),URL,Running Total (₹),
,,,,,,,
TPS563200,Buck Chip,2,20,40,TPS563200DDCR-Texas Instruments-Step-down type Adjustable 760mV~7V 3A 4.5V~17V TSOT-23-6 DC-DC Converters ROHS,40,
4.7uH Inductor,Inductor,2,15,30,CDRH104R 4.7uH Power Inductor,70,
10uF Capacitor,Capacitor,5,7,35,CL31B106KBHNNNE-Samsung-50V 10uF X7R ±10% 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,105,
22uF Capacitor,Capacitor,5,2.85,14.25,CL31A226KOHNNNE-Samsung-16V 22uF X5R ±10% 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,119.25,
100nF Capacitor,Capacitor,15,0.72,10.8,CL21B104KBCNFNC-Samsung-50V 100nF X7R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,130.05,
1000uF Capacitor,Capacitor,2,15,30,"25YXJ1000MT810X20-Rubycon-1000uF 25V 46mΩ@100kHz ±20% 1.4A@100kHz Plugin,D10xL20mm Aluminum Electrolytic Capacitors - Leaded ROHS",160.05,
56k ohm Resistor,Resistor,30,0.35,10.5,"RC1206FR-0756KL-Yageo-SMD Chip Resistor, 56 kohm, ± 1%, 250 mW, 1206 [3216 Metric], Thick Film, General Purpose",170.55,
1k ohm Resistor,Resistor,25,0.46,11.5,RC1206FR-071KL-YAGEO-Res Thick Film 1206 1K Ohm 1% 0.25W(1/4W) ±100ppm/°C Pad SMD T/R,182.05,
33k ohm Resistor,Resistor,30,0.35,10.5,"RC1206FR-0733KL-Yageo-SMD Chip Resistor, 33 kohm, ± 1%, 250 mW, 1206 [3216 Metric], Thick Film, General Purpose",192.55,
10k ohm Resistor,Resistor,40,0.25,10,RC1206FR-0710KL-YAGEO-Res Thick Film 1206 10K Ohm 1% 0.25W(1/4W) ±100ppm/°C Pad SMD T/R,202.55,
LED,LED,15,0.92,13.8,1206 Surface Mount LED White,216.35,
XT-60,Connector,1,34,34,Amass XT60H Male Connector with Housing - XT60H-M.G.Y,250.35,
Holder,Battery Holder,1,39,39,4 x AA Battery Holder Box with 9V Battery Buckle without Cover （Back-to-Back）,289.35,
,,,,,,,
Shipping ,of Components, _,_,49,_,338.35,
Discount,_,_,_,1,_,337.35,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Item ,Quantity,Price ($),Running Total ($),,,,
,,,,,,,
PCB,5,2,2,,,,
Shipping,_,7.98,9.98,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
